keys_phrase_sadim_91526,"هذا مِفْتَاح سديم, أكْمِل الخَرِيطَة للْحُصولِ على بَقِيَّةِ المَفَاتيح","C'est la clé de Sadim, complétez la carte pour obtenir le reste des clés.","This is Sadim's key, complete the map to get the rest of the keys."
keys_phrase_bassem_28475,"هذا مِفْتَاح باسم, أكْمِل الخَرِيطَة للْحُصولِ على بَقِيَّةِ المَفَاتيح","C'est la clé de Bassem, complétez la carte pour obtenir le reste des clés.","This is Bassem's key, complete the map to get the rest of the keys."

achievements_phrase_level_1_8472,"أَكْمَلْتُ المَرْحَلةَ الأُولى","J'ai terminé le premier niveau","I completed the first level"
achievements_phrase_ferid_encyclopedia_1934,"عَثَرْتُ عَلَى موْسوعَةِ فَرِيدْ","J'ai trouvé l'encyclopédie de Ferid","I found Ferid's encyclopedia"
achievements_phrase_first_story_5612,"قَرَأْتُ أوّلَ قِصّةٍ","J'ai lu la première histoire","I read the first story"
achievements_phrase_level_2_3091,"أَكْمَلْتُ المَرْحَلةَ الثّانِيَةِ","J'ai terminé le deuxième niveau","I completed the second level"
achievements_phrase_fahed_encyclopedia_7258,"العُثورْ على موْسوعَةِ فَهْدْ","Trouver l'encyclopédie de Fahed","Finding Fahed's encyclopedia"
achievements_phrase_level_2_alt_4826,"أَكْمَلْتُ المَرْحَلةَ الثّانِيَةِ","J'ai terminé le deuxième niveau","I completed the second level"
achievements_phrase_nagham_encyclopedia_6109,"العُثورْ على موْسوعَةِ نَغَمُ","Trouver l'encyclopédie de Nagham","Finding Nagham's encyclopedia"
achievements_phrase_level_4_2938,"أَكْمَلْتُ المَرْحَلةَ الرابعة!","J'ai terminé le quatrième niveau !","I completed the fourth level!"
achievements_phrase_sadim_encyclopedia_8471,"العُثورْ على موْسوعَةِ سديم!","Trouver l'encyclopédie de Sadim !","Finding Sadim's encyclopedia!"
achievements_phrase_ten_stars_1593,"جَمَعَتُ عَشَرَةَ نُجومٍ!","J'ai collecté dix étoiles !","I collected ten stars!"
achievements_phrase_level_5_9264,"أَكْمَلْتُ المَرْحَلةَ الخامسة!","J'ai terminé le cinquième niveau !","I completed the fifth level!"
achievements_phrase_bassem_encyclopedia_3740,"العُثورْ على موْسوعَةِ باسِمُ!","Trouver l'encyclopédie de Bassem !","Finding Bassem's encyclopedia!"

islamic_map_prophets_stories_1982,"قِصَصُ الْأَنْبِيَاءِ","Histoires des Prophètes","Stories of the Prophets"
islamic_map_prophetic_biography_3847,"السِّيرَةُ النَّبَوِيَّةُ","La biographie du Prophète","Prophetic Biography"
islamic_map_pillars_of_faith_5736,"أَرْكَانُ الْإِيمَانِ","Les piliers de la foi","Pillars of Faith"
islamic_map_pillars_of_islam_4592,"أَرْكَانُ الْإِسْلَامِ","Les piliers de l'Islam","Pillars of Islam"
islamic_map_holy_quran_9284,"الْقُرْآنُ الْكَرِيمُ","Le Saint Coran","The Holy Quran"
islamic_map_ethics_values_2648,"الْأَخْلَاقُ وَالْقِيَمُ الْإِنْسَانِيَّةُ","Éthique et valeurs humaines","Ethics and Human Values"
islamic_map_simplified_miracles_7491,"مُعْجِزَاتُ الْإِسْلَامِ الْمُبَسَّطَةُ","Les miracles simplifiés de l'Islam","Simplified Miracles of Islam"
islamic_map_islamic_civilization_8103,"تَارِيخُ الْحَضَارَةِ الْإِسْلَامِيَّةُ","Histoire de la civilisation islamique","History of Islamic Civilization"

CONTENT_AVAILABLE_ONLY_IN_ARABIC_WARNING_LOCALIZATION_PHRASE_83925,"يُقَدَّمُ هٰذَا الْقِسْمُ بِاللُّغَةِ الْعَرَبِيَّةِ حِفَاظًا عَلَى أَصَالَةِ الْمُحْتَوَى وَدِقَّةِ مَعَانِيهِ.","Cette section est présentée en langue arabe afin de préserver l'authenticité du contenu et l'exactitude de ses significations.","This section is presented in the Arabic language to preserve the authenticity of the content and the accuracy of its meanings."

phrase_1784798811,"التّعليمات","Instructions","Instructions"
phrase_1784798919,"اكتمال المرحلة!","Niveau terminé!","Level completed!"
phrase_1784798922,"أحسنت!","Très bien !","Well done!"
phrase_1784798926,"حَاولْ مُجَددا","Essayez à nouveau","Try again"
phrase_1784798934,"وقفة","arrêt","stop"
phrase_1784799092,"فَلنُسَاعِد نَغَمَ في تعدِِيلِ المَوْجَاتِ الصّوتِيَّة","Aidons Nagham à modifier les ondes sonores","Let's help Nagham modify the audio waves"
phrase_1784799112,"إنتهاء المرحلة","Fin de niveau","End of Level"
phrase_1784799120,"مجموع النقاط","Total des points","Total points"
phrase_1784799126,"0","zéro","zero"
phrase_1784799181,"أعلى مجموعة نقاط","Meilleur score","Highest score"
phrase_1784799187,"إختيار المستوى","Choisir le niveau","Choose Level"
phrase_1784799190,"المستوى اللانهائي","Niveau Infini","Infinite Level"
phrase_1784800553,"إنطلق","Allez!","Go!"
phrase_1784800611,"عَلَيْكَ إِنْهَاءُ المَرَاحِلِ السَّابِقَةِ أوّلًا","Vous devez d'abord terminer les niveaux précédents","You must first complete the previous levels"



Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_intro_ferid_help_1277265523,"مرحبا إسمي فريد لقد سافر أحد أصدقائي و ترك لي محل البيتزا خاصته للاعتناء به, يبدو أن الزبائن هنا لا يطلبون بيتزا تقليدية , حيث تحتوي على عدة أشكال و ألوان, أنا حقا أحتاج مساعدتك","Bonjour, je m'appelle Ferid. L'un de mes amis est parti en voyage et m'a laissé sa pizzeria pour que je m'en occupe. Il semble que les clients ici ne commandent pas de pizza traditionnelle, car elle a plusieurs formes et couleurs. J'ai vraiment besoin de ton aide!","Hello, my name is Ferid. One of my friends traveled and left me his pizza shop to take care of. It seems that the customers here don't order traditional pizza, since it comes in several shapes and colors. I really need your help."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_guide_steps_intro_1673662589,"سارشدك خلال جميع المراحل اللازمة لتحضير طلب الزبون","Je vais te guider à travers toutes les étapes nécessaires pour préparer la commande du client.","I will guide you through all the steps necessary to prepare the customer's order."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_click_pizza_start_1772314877,"اضغط على البيتزا لتبدأ بتحظيرها","Clique sur la pizza pour commencer à la préparer.","Click on the pizza to start preparing it."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_match_pizza_topleft_1081115803,"في هذه المرحلة نحاول الحصول على بيتزا مثل الموجودة على اليسار في الأعلى","À cette étape, nous essayons d'obtenir une pizza comme celle affichée en haut à gauche.","At this stage, we are trying to get a pizza like the one shown on the top left."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_oven_prepare_intro_1212827338,"سنقوم الآن بتجهيز الفرن. يجب اختيار الوقت ودرجة الحرارة المناسبين","Nous allons maintenant préparer le four. Il faut choisir la durée et la température appropriées.","We will now prepare the oven. We must choose the appropriate time and temperature."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_oven_time_start_1046084695,"فلنبدأ بالوقت","Commençons par la durée.","Let's start with the time."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_oven_time_explain_1351614964,"يمثل الوقت على اليسار في الأعلى المدة الزمنية المطلوبة لطهو البيتزا","La durée affichée en haut à gauche représente le temps nécessaire pour cuire la pizza.","The time shown on the top left represents the duration required to cook the pizza."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_oven_temp_choose_1516082559,"لنختر درجة الحرارة المناسبة الان","Choisissons maintenant la température appropriée.","Let's now choose the appropriate temperature."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_oven_temp_explain_1702819704,"عدد الدرجات الموجودة على اليسار في الأعلى هي الحرارة المطلوبة لطهو البيتزا","Le nombre de degrés affiché en haut à gauche est la température nécessaire pour cuire la pizza.","The number of degrees shown on the top left is the temperature required to cook the pizza."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_oven_button_press_1231425485,"اضغط على الزر لتشغيل الفرن","Appuie sur le bouton pour allumer le four.","Press the button to turn on the oven."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_toppings_stage_intro_1108280204,"ننتقل الان للمرحلة الثالثة في إعداد البيتزا وهي وضع الإضافات المناسبة فوق البيتزا","Nous passons maintenant à la troisième étape de la préparation de la pizza, qui consiste à mettre les garnitures appropriées sur la pizza.","We now move to the third stage of preparing the pizza, which is placing the appropriate toppings on the pizza."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_match_pizza_topright_1197263435,"نريد بيتزا كالتي على اليمين في الأعلى","Nous voulons une pizza comme celle en haut à droite.","We want a pizza like the one on the top right."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_toppings_use_table_1694558741,"إستعمل الاضافات الموجودة على الطاولة","Utilise les garnitures disponibles sur la table.","Use the toppings available on the table."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_topping_place_spot_1033299130,"ضع الإضافة المناسبة في المكان المخصص","Place la garniture appropriée à l'endroit désigné.","Place the appropriate topping in the designated spot."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_olives_request_1459872892,"يريد الزبون إضافة زيتون على البيتزا","Le client veut ajouter des olives sur la pizza.","The customer wants olives added to the pizza."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_final_stage_reached_1780182831,"وصلنا الى المرحلة الاخيرة","Nous sommes arrivés à la dernière étape.","We have reached the final stage."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_change_return_intro_1627989443,"في هذه المرحلة نريد إرجاع الباقي للزبون","À cette étape, nous voulons rendre la monnaie au client.","At this stage, we want to give the change back to the customer."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_customer_click_money_1897960984,"اضغط على الزبون لكي يعطيك النقود","Clique sur le client pour qu'il te donne l'argent.","Click on the customer so he gives you the money."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_change_amount_display_1926574610,"يمثل هذا العدد المبلغ الذي يجب إرجاعه للزبون","Ce nombre représente le montant qui doit être rendu au client.","This number represents the amount that must be returned to the customer."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_money_place_spot_1767332958,"ضع كمية المال المناسبة في هذا المكان","Place la quantité d'argent appropriée à cet endroit.","Place the appropriate amount of money in this spot."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_money_value_added_1389248898,"عند وضع نقود في المكان المخصص يتم إضافة قيمتها هنا","Lorsque de l'argent est placé à l'endroit désigné, sa valeur est ajoutée ici.","When money is placed in the designated spot, its value is added here."

Horizon_Trainee_MunchCraftMastermind_pizza_ferid_phrase_waiting_for_new_order_1785226922,"في إنتظار طلب جديد ...","En attente d'une nouvelle commande...","Waiting for a new order..."

phrase_1785167739,"التالي","Suivant","Next"
phrase_1785226922,"تحقق","Vérifier","Verify"
phrase_1785227368,"دقيقة","minutes","minutes"
